,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
95,2019-08-05,3,5,18.68620300292241,96474.52487182617,96493.2110748291,100922.24639462255
96,2019-08-06,0,5,18.68620300292241,97766.65872192383,97785.34492492676,102145.86193252089
97,2019-08-07,0,5,18.68620300292241,97226.89195251465,97245.57815551758,102170.78804511137
98,2019-08-08,1,5,18.68620300292241,98642.31774902344,98661.00395202637,103885.08900354183
99,2019-08-09,0,5,18.68620300292241,98528.91024398804,98547.59644699097,103226.85463529988
100,2019-08-12,1,5,18.68620300292241,97555.02227401733,97573.70847702026,101971.72389236708
101,2019-08-13,4,5,145.2319488525318,98243.75596237183,98388.98791122437,103362.18535598654
102,2019-08-14,0,5,145.2319488525318,96256.63232040405,96401.86426925659,100440.51742201023
103,2019-08-15,0,5,145.2319488525318,97016.35541152954,97161.58736038208,100534.56220590774
104,2019-08-16,0,5,145.2319488525318,97715.95914459229,97861.19109344482,102081.49533592735
105,2019-08-19,0,5,145.2319488525318,98785.79949188232,98931.03144073486,103314.32149427352
106,2019-08-20,0,5,145.2319488525318,98099.21003341675,98244.44198226929,102484.66511424084
107,2019-08-21,1,6,10.381378173820849,98907.4065246582,98917.78790283203,103509.32333088577
108,2019-08-22,3,6,10.381378173820849,98988.65394210815,98999.03532028198,103592.37492364881
109,2019-08-23,3,6,10.381378173820849,97494.8536643982,97505.23504257202,101015.6816709374
110,2019-08-26,3,6,10.381378173820849,98815.24739456177,98825.6287727356,102127.54927731835
111,2019-08-27,1,6,10.381378173820849,98950.43714141846,98960.81851959229,101803.56678087369
112,2019-08-28,1,6,10.381378173820849,99251.77996444702,99262.16134262085,102572.48478159914
113,2019-08-29,2,5,144.58099365233647,99507.12775802612,99651.70875167847,103872.0836514352
114,2019-08-30,2,5,144.58099365233647,99310.2003440857,99454.78133773804,104086.97127817581
115,2019-09-03,1,6,12.402374267570849,100387.33498764038,100399.73736190796,103426.02007657719
116,2019-09-04,1,6,12.402374267570849,100667.61590957642,100680.018283844,104623.24454239612
117,2019-09-05,1,6,12.402374267570849,100745.93535614014,100758.33773040771,105960.16763244077
118,2019-09-06,3,6,12.402374267570849,100375.66456604004,100388.06694030762,106089.07720925407
119,2019-09-09,3,6,12.402374267570849,99883.56801223755,99895.97038650513,106332.9906060619
120,2019-09-10,2,6,12.402374267570849,99499.32638549805,99511.72875976562,106447.35019287557
121,2019-09-11,10,6,12.402374267570849,100533.98932266235,100546.39169692993,107284.01259141113
122,2019-09-12,10,6,12.402374267570849,100789.99377059937,100802.39614486694,107506.09316426609
123,2019-09-13,3,6,12.402374267570849,100524.52388381958,100536.92625808716,107511.96679762038
124,2019-09-16,6,6,12.402374267570849,99949.0757446289,99961.47811889648,106986.36521154166
125,2019-09-17,1,6,12.402374267570849,100988.64069747925,101001.04307174683,107193.07519596451
126,2019-09-18,2,6,12.402374267570849,101347.09032821655,101359.49270248413,107121.3052027052
127,2019-09-19,1,6,12.402374267570849,101910.83650970459,101923.23888397217,107109.25012933702
128,2019-09-20,1,6,12.402374267570849,102126.11374282837,102138.51611709595,106676.10294640649
129,2019-09-23,0,6,12.402374267570849,101612.97428131104,101625.37665557861,106625.1708801563
130,2019-09-24,2,6,12.402374267570849,101678.07976913452,101690.4821434021,105667.64817728425
131,2019-09-25,0,6,12.402374267570849,101317.2342300415,101329.63660430908,106243.60312475318
132,2019-09-26,0,6,12.402374267570849,101788.93292617798,101801.33530044556,106068.86430921097
