,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
66,2019-12-12,1,7,22055.926920318634,81465.380859375,103521.30777969363,107327.23561874946
67,2019-12-13,0,7,22055.926920318634,81931.39877319336,103987.32569351199,107201.58976340636
68,2019-12-16,0,7,22055.926920318634,82266.0530090332,104321.97992935183,107948.28126194135
69,2019-12-17,0,7,22055.926920318634,82715.42854309082,104771.35546340945,108071.25557584144
70,2019-12-18,1,8,5408.503278350861,99356.64405822754,104765.1473365784,107977.16513922594
71,2019-12-19,0,8,5408.503278350861,100020.93086242676,105429.43414077762,108451.95424805992
72,2019-12-20,1,7,26139.391883087188,79601.27143859863,105740.66332168582,108945.25719179063
73,2019-12-23,0,7,26139.391883087188,79644.51522827148,105783.90711135867,109058.46528635532
74,2019-12-24,1,8,13667.490880584746,91886.78741455078,105554.27829513553,109034.36774830653
75,2019-12-26,0,8,13667.490880584746,92012.72277832031,105680.21365890506,109455.80133459502
76,2019-12-27,1,8,1039.8728767395314,104806.30378723145,105846.17666397098,109450.06661354742
77,2019-12-30,2,7,17251.385120391875,87850.35247802734,105101.73759841922,108700.80019044083
78,2019-12-31,0,7,17251.385120391875,88322.56736755371,105573.95248794559,109041.8358510789
79,2020-01-02,0,7,17251.385120391875,87839.3871307373,105090.77225112918,109940.83518330766
80,2020-01-03,1,7,17251.385120391875,87694.58847045898,104945.97359085086,109158.19543524885
81,2020-01-06,1,8,5972.189933013948,99296.13151550293,105268.32144851687,109510.10034705218
82,2020-01-07,0,8,5972.189933013948,98686.26441955566,104658.4543525696,109307.97064395709
83,2020-01-08,0,8,5972.189933013948,99002.06146240234,104974.25139541629,109876.03688246068
84,2020-01-09,1,8,5972.189933013948,99236.54594421387,105208.73587722781,110492.52958030855
85,2020-01-10,1,7,14133.258182525666,90716.66831970215,104849.92650222781,110090.12254471004
86,2020-01-13,0,7,14133.258182525666,91060.98213195801,105194.24031448367,111072.88698735202
87,2020-01-14,0,7,14133.258182525666,91367.87300109863,105501.1311836243,111135.46294853413
88,2020-01-15,2,7,11994.428374481233,93696.31385803223,105690.74223251345,111152.9748571446
89,2020-01-16,0,7,11994.428374481233,94416.79039001465,106411.21876449588,111833.02075616356
90,2020-01-17,0,7,11994.428374481233,94106.75926208496,106101.18763656619,112194.29669306384
91,2020-01-21,1,7,11994.428374481233,94795.14617919922,106789.57455368045,111985.34256560849
92,2020-01-22,0,7,11994.428374481233,94303.8314819336,106298.25985641482,112109.93406271178
93,2020-01-23,0,7,11994.428374481233,94688.95072937012,106683.37910385134,112211.32795614157
94,2020-01-24,1,8,7755.397777557405,98169.69528198242,105925.09305953982,111153.61307529548
95,2020-01-27,1,8,7755.397777557405,97390.90347290039,105146.3012504578,109471.00732792298
96,2020-01-28,0,8,7755.397777557405,97470.26863098145,105225.66640853885,110308.42167837547
