Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2019-09-10,53.0029411315918,59.077266693115234,79.39625549316406,181.93002319335938,276.1400146484375,50.721343994140625,180.17974853515625,203.95758056640625,91.02749633789062,264.2549743652344,112.46488952636719,365.1735534667969,27.415987014770508,41.92383575439453,2018.760009765625,398.2626647949219,44.25077438354492,62.125003814697266,120.90593719482422,421.3399963378906,67.26128387451172,43.65888595581055,87.41205596923828,50.712467193603516,282.8120422363281,149.64999389648438,44.88935089111328,58.70048141479492,105.54119873046875,67.38725280761719,135.04090881347656,134.98129272460938,39.69736862182617,83.274658203125,60.079105377197266,31.142162322998047,8.872769355773926,164.8440704345703,173.894775390625,72.22685241699219,59.17660140991211,38.599796295166016,60.29999923706055,60.28499984741211,201.79161071777344,217.42471313476562,159.64471435546875,119.53488159179688,47.78062057495117,119.81510162353516,106.74494934082031,25.22753143310547,49.5075569152832,177.1092529296875,105.53156280517578,351.6559753417969,109.69002532958984,268.084228515625,195.46481323242188,50.87596130371094,100.4045639038086,42.43400192260742,186.1699981689453,151.82936096191406,35.0615348815918,70.71484375,40.003170013427734,132.21749877929688,51.28886795043945,287.989990234375,84.49972534179688,45.6150016784668,52.80393981933594,124.82801818847656,31.724227905273438,111.43419647216797,62.8002815246582,103.05000305175781,73.08211517333984,78.22541046142578,85.12635803222656,40.26664352416992,52.393829345703125,135.7894287109375,21.97915267944336,103.08290100097656,287.541748046875,78.37999725341797,15.702667236328125,117.30742645263672,221.46022033691406,157.49476623535156,112.42286682128906,50.15598678588867,172.9899444580078,52.21817398071289,50.36501693725586,44.628482818603516,110.54010009765625,60.23515701293945
2019-09-11,54.68818283081055,60.212364196777344,80.64620971679688,183.57032775878906,277.7799987792969,51.72663497924805,179.23699951171875,200.64649963378906,91.14949798583984,267.4589538574219,113.12640380859375,378.4664306640625,27.518735885620117,42.436668395996094,2050.159912109375,402.4374084472656,44.87042999267578,62.052947998046875,123.50428771972656,425.0,67.94210052490234,43.61189651489258,87.65953826904297,51.50483703613281,276.8034362792969,154.08999633789062,45.637351989746094,59.06043243408203,105.04749298095703,67.52881622314453,137.9178924560547,135.37890625,40.17730712890625,83.76222229003906,60.440643310546875,31.386919021606445,8.872769355773926,166.47085571289062,174.57049560546875,73.96534729003906,60.058780670166016,38.482765197753906,61.00849914550781,61.0,202.8865203857422,217.10748291015625,161.21658325195312,118.33993530273438,48.67500305175781,121.3133544921875,107.03722381591797,25.506288528442383,49.84428024291992,178.91162109375,106.09201049804688,351.8680114746094,107.98680877685547,265.7413635253906,195.9495849609375,51.04450988769531,101.4788589477539,42.926177978515625,188.49000549316406,151.12802124023438,35.44195556640625,71.77958679199219,40.33361053466797,132.25637817382812,51.74504089355469,288.2699890136719,84.42185974121094,45.90137481689453,53.584537506103516,125.28742980957031,31.749691009521484,112.72625732421875,63.28076934814453,104.0199966430664,74.77603149414062,79.41709899902344,85.71994018554688,41.04414367675781,52.85411834716797,132.9678497314453,22.657594680786133,103.21549987792969,292.9449462890625,79.73999786376953,16.47333335876465,118.72944641113281,223.12742614746094,157.240966796875,112.83618927001953,50.2368049621582,171.64601135253906,52.58548355102539,51.40986633300781,45.1273307800293,110.51152038574219,60.11815643310547
2019-09-12,54.565879821777344,61.37346649169922,81.30458068847656,187.5511932373047,278.0199890136719,51.87284851074219,177.5530242919922,206.447998046875,92.17749786376953,269.7654724121094,114.10426330566406,371.2418518066406,27.714902877807617,42.40919876098633,2041.4100341796875,404.22259521484375,45.20759963989258,62.41319274902344,122.26080322265625,425.0,67.41981506347656,44.14765167236328,88.44010162353516,50.73947525024414,276.04168701171875,154.75,45.54613494873047,58.977359771728516,105.16875457763672,67.28343963623047,140.13247680664062,136.6811065673828,40.25443649291992,84.17884826660156,59.98640823364258,30.83944320678711,8.863348960876465,166.0402374267578,175.32025146484375,73.17512512207031,59.088226318359375,38.1024284362793,61.712501525878906,61.74850082397461,204.7020263671875,218.17124938964844,158.7222900390625,118.35643005371094,48.87785720825195,120.62895965576172,107.69483184814453,25.288515090942383,50.15369415283203,182.68801879882812,105.88304138183594,356.5528869628906,108.35789489746094,272.0907897949219,197.76734924316406,51.325439453125,103.1136474609375,42.83668899536133,187.47000122070312,153.3758544921875,35.23588943481445,72.11720275878906,40.68242645263672,133.61666870117188,51.90494155883789,288.8599853515625,85.31715393066406,45.88643264770508,51.29988098144531,126.14189147949219,31.639362335205078,114.12057495117188,63.1374626159668,107.0999984741211,74.00862884521484,80.29917907714844,86.73749542236328,41.34170150756836,53.10198211669922,130.77798461914062,22.44704818725586,103.18711853027344,292.9747009277344,79.69000244140625,16.391332626342773,120.2437973022461,219.21192932128906,157.6263885498047,112.56983184814453,50.03925323486328,174.58888244628906,52.84783935546875,49.19621276855469,44.942569732666016,111.36881256103516,60.15994644165039
2019-09-13,53.50435256958008,61.09618377685547,80.40766906738281,186.68788146972656,278.3500061035156,52.35721969604492,178.8983917236328,203.16519165039062,91.96700286865234,260.5573425292969,114.27684020996094,375.3235778808594,28.18195343017578,42.94950485229492,2063.89990234375,411.8560791015625,45.0435676574707,63.39487838745117,124.14456176757812,425.5199890136719,65.94627380371094,44.063053131103516,89.11592864990234,51.63090133666992,277.95562744140625,152.97999572753906,45.637351989746094,59.125030517578125,105.23804473876953,69.406982421875,139.42063903808594,137.19801330566406,41.30857849121094,83.23921203613281,60.765098571777344,30.446544647216797,8.901025772094727,166.60487365722656,175.829345703125,73.88709259033203,59.23068618774414,37.89762496948242,61.97800064086914,62.00149917602539,205.78756713867188,218.33921813964844,157.85635375976562,118.39762115478516,48.44449234008789,120.95266723632812,109.81385040283203,25.480154037475586,49.74117660522461,183.2506561279297,105.33209228515625,354.92059326171875,107.86312866210938,272.0120849609375,195.58599853515625,50.64185333251953,102.45040130615234,43.284114837646484,187.19000244140625,154.149169921875,33.93534469604492,71.98649597167969,41.45348358154297,133.4223175048828,51.37587356567383,294.1499938964844,84.9765625,45.30622863769531,51.1666145324707,125.36093139648438,31.32534408569336,113.5163803100586,61.57801055908203,107.0,73.38160705566406,80.64969635009766,85.24886322021484,41.869632720947266,53.22590255737305,129.64935302734375,22.17215919494629,102.28726196289062,295.6366271972656,79.4000015258789,16.34666633605957,119.6805419921875,223.60533142089844,161.14146423339844,112.67086029052734,50.353519439697266,173.89242553710938,52.43680953979492,49.576961517333984,45.191986083984375,111.8545913696289,60.711544036865234
2019-09-16,53.7856330871582,61.1568489074707,79.53938293457031,186.24664306640625,282.92999267578125,51.75985336303711,177.62623596191406,204.48587036132812,90.39199829101562,259.0675048828125,112.7812728881836,374.4241943359375,28.14458656311035,42.8121337890625,2072.949951171875,405.1151428222656,45.080020904541016,62.890541076660156,123.55994415283203,423.25,64.75250244140625,43.48970413208008,89.8012924194336,56.30415344238281,274.89898681640625,153.00999450683594,45.5734977722168,58.543575286865234,107.50738525390625,68.08565521240234,139.05487060546875,134.99124145507812,42.00275802612305,82.54776763916016,60.8670539855957,30.51738929748535,8.759740829467773,166.09767150878906,176.76422119140625,74.20352935791016,58.66082763671875,36.28848648071289,61.564998626708984,61.58150100708008,203.2795867919922,215.5491180419922,156.44448852539062,117.41694641113281,48.13100814819336,119.80583190917969,108.8365478515625,25.802471160888672,49.46615982055664,179.77943420410156,104.61018371582031,362.1138000488281,107.16851806640625,269.8070373535156,193.33938598632812,50.6137580871582,101.8712158203125,42.55033493041992,186.22000122070312,152.5576629638672,33.4506721496582,71.4810791015625,41.077144622802734,132.4604034423828,51.33354949951172,294.2900085449219,84.92790222167969,44.875423431396484,50.58592987060547,123.92760467529297,31.2574520111084,111.31333923339844,61.19865798950195,106.5199966430664,73.03530883789062,80.66136169433594,84.25012969970703,41.850425720214844,52.98690414428711,130.0367889404297,21.821239471435547,101.31165313720703,293.5196533203125,79.55999755859375,16.187332153320312,118.52629852294922,224.3902130126953,158.79177856445312,112.57901763916016,50.15598678588867,172.75450134277344,52.034515380859375,49.00141143798828,45.24741744995117,110.08290100097656,61.622554779052734
2019-09-17,53.981319427490234,62.04066467285156,79.74929809570312,187.00442504882812,284.69000244140625,52.458316802978516,180.0424346923828,208.7591552734375,91.12750244140625,259.2200927734375,114.13304138183594,379.71173095703125,27.96710777282715,42.445823669433594,2077.43994140625,408.34149169921875,45.32605743408203,62.575313568115234,122.6505355834961,425.1499938964844,65.15354919433594,43.86566925048828,89.31582641601562,55.12458801269531,277.489013671875,152.82000732421875,45.0717887878418,58.5897216796875,107.30816650390625,67.24568176269531,140.71578979492188,135.49819946289062,41.137168884277344,83.21261596679688,60.208885192871094,30.459415435791016,8.740901947021484,165.8392791748047,177.07891845703125,74.04532623291016,58.919044494628906,37.34174346923828,61.45750045776367,61.49399948120117,202.05361938476562,214.82125854492188,156.6798095703125,117.18620300292969,47.90048599243164,119.92605590820312,108.29766082763672,24.704862594604492,49.72283935546875,183.3269805908203,105.55056762695312,363.3310852050781,107.263671875,271.94317626953125,195.62330627441406,51.222434997558594,102.14212036132812,42.44295120239258,188.0800018310547,151.11903381347656,33.36989212036133,71.89936065673828,40.58145523071289,133.4903106689453,52.25294494628906,298.6000061035156,85.23931121826172,45.089576721191406,50.32891082763672,124.68098449707031,30.97738265991211,112.6240234375,60.70975875854492,107.5,73.6436538696289,80.15315246582031,85.50324249267578,41.38009262084961,53.59767532348633,129.85147094726562,21.73351287841797,101.61476135253906,290.91571044921875,80.20999908447266,16.319332122802734,119.63436889648438,222.56202697753906,156.86502075195312,112.41368865966797,50.19191360473633,173.08804321289062,52.358097076416016,48.558685302734375,45.04418182373047,110.97827911376953,61.15451431274414
2019-09-18,54.48761749267578,61.75471496582031,79.8065414428711,186.2178192138672,279.7200012207031,52.9821662902832,178.50485229492188,209.0515899658203,90.87300109863281,258.2418518066406,113.83583068847656,381.8959045410156,28.023157119750977,43.041080474853516,2058.3701171875,412.0419921875,45.43540573120117,63.12467575073242,121.62976837158203,425.4200134277344,65.98357391357422,44.11944580078125,89.38246154785156,54.035064697265625,278.4603271484375,152.77000427246094,45.007938385009766,58.38666534423828,107.5593490600586,67.94407653808594,142.31741333007812,135.9852752685547,40.717227935791016,83.55833435058594,60.17181396484375,30.87808609008789,8.712644577026367,144.41319274902344,176.14405822753906,74.20352935791016,58.51835250854492,37.234466552734375,61.62049865722656,61.63249969482422,203.14852905273438,215.39981079101562,158.10107421875,117.20267486572266,47.70685577392578,120.6104736328125,109.38455963134766,24.7484188079834,49.71367263793945,183.7274932861328,107.07037353515625,366.15301513671875,107.13996887207031,270.8110656738281,196.16397094726562,51.24116516113281,102.7586669921875,42.818790435791016,188.13999938964844,150.55258178710938,32.99022674560547,72.34378051757812,40.719139099121094,134.5882568359375,52.647979736328125,291.55999755859375,85.7161636352539,44.818153381347656,50.033817291259766,124.49723815917969,30.87553596496582,112.85639953613281,60.321983337402344,105.5999984741211,73.84017181396484,80.416015625,85.70110321044922,41.49527359008789,53.818965911865234,131.24124145507812,21.49956703186035,101.32113647460938,293.1519470214844,80.12000274658203,16.232667922973633,119.40351104736328,220.73382568359375,157.77671813964844,111.17373657226562,50.20088195800781,171.95013427734375,52.41056823730469,48.17793273925781,45.201229095458984,111.59740447998047,60.86199188232422
2019-09-19,54.044898986816406,62.101318359375,79.41532897949219,186.73583984375,281.260009765625,53.20273208618164,179.06314086914062,214.20217895507812,91.07499694824219,260.8445129394531,112.9250717163086,379.94891357421875,27.855012893676758,43.02275466918945,2058.570068359375,412.804443359375,45.62677764892578,62.80046081542969,120.74817657470703,427.4200134277344,66.17011260986328,43.87507247924805,88.78276062011719,53.99903869628906,274.08001708984375,153.60000610351562,44.87110900878906,58.72816467285156,107.10895538330078,67.06635284423828,144.09703063964844,132.50611877441406,40.82864761352539,83.76222229003906,60.412837982177734,30.787906646728516,8.571359634399414,145.8868865966797,174.1354522705078,74.51996612548828,58.732059478759766,36.84436798095703,61.93550109863281,61.9375,201.41729736328125,212.87094116210938,156.9715576171875,117.82076263427734,47.550106048583984,120.33299255371094,109.03746795654297,24.521928787231445,49.97952651977539,185.23423767089844,108.61869049072266,362.82391357421875,106.44535827636719,271.6084289550781,196.2478790283203,51.54081726074219,103.7021713256836,42.82773971557617,190.13999938964844,150.2199249267578,32.40861892700195,73.17160034179688,40.40705108642578,137.06588745117188,52.88312911987305,286.6000061035156,85.34636688232422,44.061134338378906,50.80487060546875,124.47889709472656,30.985864639282227,113.31188201904297,60.44843292236328,106.12000274658203,73.213134765625,80.34008026123047,86.26641082763672,41.197715759277344,54.04911422729492,130.2305145263672,21.7276611328125,102.17359924316406,293.4400939941406,81.0,16.440000534057617,118.96029663085938,222.87789916992188,157.0624237060547,109.41023254394531,50.10211181640625,172.60736083984375,52.45429611206055,48.31960678100586,45.1827507019043,111.5497817993164,60.452457427978516
2019-09-20,53.254859924316406,62.72518539428711,79.74929809570312,185.22023010253906,277.9100036621094,52.798362731933594,180.24378967285156,212.7777099609375,89.70800018310547,257.4661560058594,111.9759750366211,374.9579162597656,27.64017105102539,42.473297119140625,2031.5699462890625,413.1856689453125,46.08240509033203,62.458229064941406,118.92935180664062,420.3500061035156,66.17011260986328,43.57429504394531,88.27825164794922,54.76441192626953,272.6802978515625,155.1999969482422,45.24510955810547,59.34654998779297,107.68061828613281,67.57601928710938,144.80886840820312,131.4822540283203,41.31714630126953,84.45366668701172,60.208885192871094,31.20656967163086,8.637292861938477,142.37489318847656,173.43197631835938,74.1244125366211,59.14165115356445,36.44452667236328,61.496498107910156,61.492000579833984,200.0229034423828,209.6515655517578,158.42105102539062,116.92250061035156,46.7663688659668,121.75729370117188,108.59907531738281,24.513216018676758,49.42032241821289,185.11029052734375,110.33796691894531,358.0468444824219,105.57949829101562,266.9423828125,195.19447326660156,51.17560958862305,103.8609848022461,42.451900482177734,189.92999267578125,149.94113159179688,32.965999603271484,74.20857238769531,40.08578109741211,135.48214721679688,53.07594299316406,270.75,84.35374450683594,43.002811431884766,50.90007400512695,123.77140045166016,31.138633728027344,113.6279067993164,60.018524169921875,104.63999938964844,71.53791809082031,79.19512939453125,84.86255645751953,41.06333923339844,54.093379974365234,130.58425903320312,22.17215919494629,101.03697204589844,294.5135803222656,80.58999633789062,16.041332244873047,116.96576690673828,222.91615295410156,156.37631225585938,110.86145782470703,49.77886962890625,170.7435760498047,52.72540283203125,48.70035171508789,44.92409133911133,111.42596435546875,60.24350357055664
2019-09-23,53.497013092041016,63.193092346191406,79.34855651855469,184.98040771484375,277.44000244140625,52.660499572753906,180.9942626953125,212.60792541503906,89.26499938964844,258.5530090332031,113.35648345947266,372.6254577636719,27.574783325195312,42.830448150634766,2009.4100341796875,414.8685607910156,46.03684997558594,62.63835144042969,119.17062377929688,421.510009765625,66.68303680419922,43.442710876464844,88.38297271728516,54.18813705444336,273.83245849609375,154.64999389648438,45.080909729003906,58.469730377197266,108.18299865722656,66.93423461914062,142.96002197265625,131.67112731933594,41.06004333496094,84.56890869140625,60.190345764160156,31.116397857666016,8.627873420715332,139.39878845214844,172.89511108398438,73.88709259033203,58.527259826660156,36.3177490234375,61.701499938964844,61.734500885009766,199.76087951660156,211.1259307861328,157.31982421875,117.07906341552734,46.932334899902344,121.84052276611328,108.5807876586914,24.565481185913086,49.63117599487305,184.54763793945312,108.45719909667969,357.511962890625,105.08470916748047,268.8914794921875,197.19869995117188,51.138153076171875,103.54337310791016,42.71141052246094,186.82000732421875,149.94113159179688,33.02254104614258,73.5114517211914,39.98480224609375,135.19070434570312,52.972469329833984,265.9200134277344,85.33663177490234,43.53820037841797,51.42363357543945,124.44213104248047,30.756715774536133,114.53887176513672,60.69289779663086,105.11000061035156,72.28661346435547,79.25353240966797,85.55976104736328,40.87136459350586,54.27926254272461,130.50843811035156,21.99085235595703,103.03555297851562,288.6695861816406,79.95999908447266,16.082000732421875,117.98151397705078,218.97262573242188,156.06614685058594,109.34593963623047,49.99435806274414,171.5773468017578,52.655433654785156,48.098243713378906,45.22894287109375,112.03556823730469,60.28529739379883
